Designator,Mid X,Mid Y,Layer,Rotation
C2,115.630000,-82.670000,top,0.000000
C4,122.050000,-82.230000,top,-90.000000
C5,122.570000,-100.870000,top,90.000000
C6,121.575000,-100.870000,top,90.000000
C7,115.630000,-81.600000,top,0.000000
C8,115.470000,-95.960000,top,0.000000
C9,115.090000,-97.450000,top,-90.000000
C10,116.150000,-84.180000,top,-90.000000
C11,114.990000,-94.490000,top,90.000000
C12,122.050000,-84.220000,top,-90.000000
C13,116.030000,-94.480000,top,90.000000
C14,115.090000,-84.180000,top,-90.000000
C15,123.090000,-98.895000,top,-90.000000
C16,123.570000,-100.870000,top,90.000000
C17,115.090000,-99.395000,top,90.000000
C18,116.860000,-97.220000,top,0.000000
J1,122.075000,-107.105000,top,0.000000
J2,124.635000,-81.725000,bottom,0.000000
R1,122.090000,-98.895000,top,90.000000
R2,121.080000,-98.890000,top,90.000000
R3,120.060000,-98.890000,top,90.000000
R4,115.090000,-101.340000,top,-90.000000
R5,126.660000,-101.340000,top,-90.000000
R6,122.565000,-97.250000,top,0.000000
R7,123.125000,-84.190000,top,-90.000000
R25,125.070000,-100.390000,top,180.000000
R27,125.070000,-99.370000,top,0.000000
R29,125.070000,-101.410000,top,0.000000
U1,116.175000,-108.050000,top,-90.000000
U2,120.570000,-95.310000,top,90.000000
U3,118.670000,-89.317500,top,180.000000
U4,117.700200,-99.902050,top,0.000000
Y1,119.260000,-83.000000,top,0.000000
